"AreaID","Kingdom","Class","Family","ScientificName","CommonName","Superseded","NCA","EPBC","Endemicity","WetlandStatus"
"national-park-daintree","animals","birds","Estrildidae","Lonchura punctulata","nutmeg mannikin",,,,"II",,
"national-park-daintree","animals","birds","Estrildidae","Neochmia temporalis","red-browed finch",,"C",,"QA",,
"national-park-daintree","animals","birds","Dicaeidae","Dicaeum hirundinaceum","mistletoebird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Nectariniidae","Cinnyris jugularis","olive-backed sunbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Sturnidae","Acridotheres tristis","common myna",,,,"II",,
"national-park-daintree","animals","birds","Sturnidae","Aplonis metallica","metallic starling",,"C",,"QAI",,
"national-park-daintree","animals","birds","Sturnidae","Sturnus vulgaris","common starling",,,,"II",,
"national-park-daintree","animals","birds","Turdidae","Zoothera sp.",,,"C",,"U",,
"national-park-daintree","animals","birds","Hirundinidae","Cecropis daurica","red-rumped swallow",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Hirundinidae","Hirundo neoxena","welcome swallow",,"C",,"QAI",,
"national-park-daintree","animals","birds","Hirundinidae","Hirundo rustica","barn swallow",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Hirundinidae","Petrochelidon ariel","fairy martin",,"C",,"QA",,
"national-park-daintree","animals","birds","Hirundinidae","Petrochelidon nigricans","tree martin",,"C",,"QAI",,
"national-park-daintree","animals","birds","Zosteropidae","Zosterops lateralis","silvereye",,"C",,"QAI",,
"national-park-daintree","animals","birds","Locustellidae","Cincloramphus timoriensis","tawny grassbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cisticolidae","Cisticola exilis","golden-headed cisticola",,"C",,"QAI",,
"national-park-daintree","animals","birds","Alaudidae","Mirafra javanica","Horsfield's bushlark",,"C",,"QAI",,
"national-park-daintree","animals","birds","Petroicidae","Eopsaltria australis","eastern yellow robin",,"C",,"QA",,
"national-park-daintree","animals","birds","Petroicidae","Heteromyias cinereifrons","grey-headed robin",,"C",,"Q",,
"national-park-daintree","animals","birds","Petroicidae","Microeca flavigaster","lemon-bellied flycatcher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Petroicidae","Peneoenanthe pulverulenta","mangrove robin",,"C",,"QA",,
"national-park-daintree","animals","birds","Petroicidae","Tregellasia capito","pale-yellow robin",,"C",,"QA",,
"national-park-daintree","animals","birds","Paradisaeidae","Ptiloris victoriae","Victoria's riflebird",,"C",,"Q",,
"national-park-daintree","animals","birds","Machaerirhynchidae","Machaerirhynchus flaviventer","yellow-breasted boatbill",,"C",,"QI",,
"national-park-daintree","animals","birds","Monarchidae","Arses kaupi","pied monarch",,"C",,"Q",,
"national-park-daintree","animals","birds","Monarchidae","Carterornis leucotis","white-eared monarch",,"C",,"QA",,
"national-park-daintree","animals","birds","Monarchidae","Grallina cyanoleuca","magpie-lark",,"C",,"QAI",,
"national-park-daintree","animals","birds","Monarchidae","Monarcha melanopsis","black-faced monarch",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Monarchidae","Myiagra alecto","shining flycatcher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Monarchidae","Myiagra cyanoleuca","satin flycatcher",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Monarchidae","Myiagra rubecula","leaden flycatcher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Monarchidae","Myiagra ruficollis","broad-billed flycatcher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Monarchidae","Symposiachrus trivirgatus","spectacled monarch",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Corvidae","Corvus orru","Torresian crow",,"C",,"QAI",,
"national-park-daintree","animals","birds","Rhipiduridae","Rhipidura albiscapa","grey fantail",,"C",,"QAI",,
"national-park-daintree","animals","birds","Rhipiduridae","Rhipidura leucophrys","willie wagtail",,"C",,"QAI",,
"national-park-daintree","animals","birds","Rhipiduridae","Rhipidura rufifrons","rufous fantail",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Dicruridae","Dicrurus bracteatus","spangled drongo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Artamidae","Artamus leucorynchus","white-breasted woodswallow",,"C",,"QA",,
"national-park-daintree","animals","birds","Artamidae","Melloria quoyi","black butcherbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Artamidae","Strepera graculina","pied currawong",,"C",,"QA",,
"national-park-daintree","animals","birds","Oriolidae","Oriolus flavocinctus","green oriole",,"C",,"QAI",,
"national-park-daintree","animals","birds","Oriolidae","Oriolus sagittatus","olive-backed oriole",,"C",,"QAI",,
"national-park-daintree","animals","birds","Oriolidae","Sphecotheres vieilloti","Australasian figbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Falcunculidae","Falcunculus frontatus","crested shrike-tit",,"C",,"QA",,
"national-park-daintree","animals","birds","Pachycephalidae","Colluricincla boweri","Bower's shrike-thrush",,"C",,"Q",,
"national-park-daintree","animals","birds","Pachycephalidae","Colluricincla harmonica","grey shrike-thrush",,"C",,"QAI",,
"national-park-daintree","animals","birds","Pachycephalidae","Colluricincla megarhyncha","little shrike-thrush",,"C",,"QAI",,
"national-park-daintree","animals","birds","Pachycephalidae","Pachycephala pectoralis","golden whistler",,"C",,"QAI",,
"national-park-daintree","animals","birds","Pachycephalidae","Pachycephala simplex peninsulae","grey whistler",,"C",,"Q",,
"national-park-daintree","animals","birds","Campephagidae","Coracina lineata","barred cuckoo-shrike",,"C",,"QA",,
"national-park-daintree","animals","birds","Campephagidae","Coracina novaehollandiae","black-faced cuckoo-shrike",,"C",,"QAI",,
"national-park-daintree","animals","birds","Campephagidae","Coracina papuensis","white-bellied cuckoo-shrike",,"C",,"QAI",,
"national-park-daintree","animals","birds","Campephagidae","Edolisoma tenuirostre","common cicadabird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Campephagidae","Lalage leucomela","varied triller",,"C",,"QAI",,
"national-park-daintree","animals","birds","Psophodidae","Psophodes olivaceus","eastern whipbird",,"C",,"QA",,
"national-park-daintree","animals","birds","Orthonychidae","Orthonyx spaldingii","chowchilla",,"C",,"Q",,
"national-park-daintree","animals","birds","Meliphagidae","Acanthorhynchus tenuirostris","eastern spinebill",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Bolemoreus frenatus","bridled honeyeater",,"C",,"Q",,
"national-park-daintree","animals","birds","Meliphagidae","Caligavis chrysops","yellow-faced honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Entomyzon cyanotis","blue-faced honeyeater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Gavicalis versicolor","varied honeyeater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Lichmera indistincta","brown honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Meliphaga lewinii","Lewin's honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Meliphaga notata","yellow-spotted honeyeater",,"C",,"Q",,
"national-park-daintree","animals","birds","Meliphagidae","Melithreptus albogularis","white-throated honeyeater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Melithreptus lunatus","white-naped honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Microptilotis gracilis","graceful honeyeater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Myzomela obscura","dusky honeyeater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Myzomela sanguinolenta","scarlet honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Philemon argenticeps","silver-crowned friarbird",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Philemon buceroides","helmeted friarbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Philemon citreogularis","little friarbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Philemon corniculatus","noisy friarbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Phylidonyris niger","white-cheeked honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Ptilotula fusca","fuscous honeyeater",,"C",,"QA",,
"national-park-daintree","animals","birds","Meliphagidae","Ramsayornis modestus","brown-backed honeyeater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meliphagidae","Stomiopera flava","yellow honeyeater",,"C",,"Q",,
"national-park-daintree","animals","birds","Meliphagidae","Trichodere cockerelli","white-streaked honeyeater",,"C",,"Q",,
"national-park-daintree","animals","birds","Meliphagidae","Xanthotis macleayanus","Macleay's honeyeater",,"C",,"Q",,
"national-park-daintree","animals","birds","Pardalotidae","Pardalotus punctatus","spotted pardalote",,"C",,"QA",,
"national-park-daintree","animals","birds","Pardalotidae","Pardalotus striatus","striated pardalote",,"C",,"QA",,
"national-park-daintree","animals","birds","Acanthizidae","Acanthiza katherina","mountain thornbill",,"C",,"Q",,
"national-park-daintree","animals","birds","Acanthizidae","Gerygone levigaster","mangrove gerygone",,"C",,"QAI",,
"national-park-daintree","animals","birds","Acanthizidae","Gerygone magnirostris","large-billed gerygone",,"C",,"QAI",,
"national-park-daintree","animals","birds","Acanthizidae","Gerygone mouki","brown gerygone",,"C",,"QA",,
"national-park-daintree","animals","birds","Acanthizidae","Gerygone olivacea","white-throated gerygone",,"C",,"QAI",,
"national-park-daintree","animals","birds","Acanthizidae","Gerygone palpebrosa","fairy gerygone",,"C",,"QAI",,
"national-park-daintree","animals","birds","Acanthizidae","Oreoscopus gutturalis","fernwren",,"C",,"Q",,
"national-park-daintree","animals","birds","Acanthizidae","Sericornis citreogularis","yellow-throated scrubwren",,"C",,"QA",,
"national-park-daintree","animals","birds","Acanthizidae","Sericornis frontalis","white-browed scrubwren",,"C",,"QA",,
"national-park-daintree","animals","birds","Acanthizidae","Sericornis keri","Atherton scrubwren",,"C",,"Q",,
"national-park-daintree","animals","birds","Acanthizidae","Sericornis magnirostra","large-billed scrubwren",,"C",,"QA",,
"national-park-daintree","animals","birds","Maluridae","Malurus amabilis","lovely fairy-wren",,"C",,"Q",,
"national-park-daintree","animals","birds","Ptilonorhynchidae","Ailuroedus maculosus","spotted catbird",,"C",,"Q",,
"national-park-daintree","animals","birds","Ptilonorhynchidae","Chlamydera maculata","spotted bowerbird",,"C",,"QA",,
"national-park-daintree","animals","birds","Ptilonorhynchidae","Prionodura newtoniana","golden bowerbird",,"C",,"Q",,
"national-park-daintree","animals","birds","Ptilonorhynchidae","Ptilonorhynchus violaceus","satin bowerbird",,"C",,"QA",,
"national-park-daintree","animals","birds","Ptilonorhynchidae","Scenopoeetes dentirostris","tooth-billed bowerbird",,"C",,"Q",,
"national-park-daintree","animals","birds","Climacteridae","Climacteris picumnus","brown treecreeper",,"C",,"QA",,
"national-park-daintree","animals","birds","Climacteridae","Cormobates leucophaea","white-throated treecreeper",,"C",,"QA",,
"national-park-daintree","animals","birds","Climacteridae","Cormobates leucophaea minor","white-throated treecreeper (northern)",,"C",,"Q",,
"national-park-daintree","animals","birds","Pittidae","Pitta versicolor","noisy pitta",,"C",,"QAI",,
"national-park-daintree","animals","birds","Coraciidae","Eurystomus orientalis","dollarbird",,"C",,"QAI",,
"national-park-daintree","animals","birds","Meropidae","Merops ornatus","rainbow bee-eater",,"C",,"QAI",,
"national-park-daintree","animals","birds","Alcedinidae","Ceyx azureus","azure kingfisher",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Alcedinidae","Ceyx pusillus","little kingfisher",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Alcedinidae","Dacelo leachii","blue-winged kookaburra",,"C",,"QAI",,
"national-park-daintree","animals","birds","Alcedinidae","Dacelo novaeguineae","laughing kookaburra",,"C",,"QA",,
"national-park-daintree","animals","birds","Alcedinidae","Tanysiptera sylvia","buff-breasted paradise-kingfisher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Alcedinidae","Todiramphus macleayii","forest kingfisher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Alcedinidae","Todiramphus sanctus","sacred kingfisher",,"C",,"QAI",,
"national-park-daintree","animals","birds","Alcedinidae","Todiramphus sordidus","Torresian kingfisher",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Tytonidae","Tyto javanica","eastern barn owl",,"C",,"QAI",,
"national-park-daintree","animals","birds","Tytonidae","Tyto tenebricosa multipunctata","lesser sooty owl",,"C",,"Q",,
"national-park-daintree","animals","birds","Strigidae","Ninox boobook","southern boobook",,"C",,"QAI",,
"national-park-daintree","animals","birds","Strigidae","Ninox connivens","barking owl",,"C",,"QAI",,
"national-park-daintree","animals","birds","Strigidae","Ninox rufa queenslandica","rufous owl (southern subspecies)",,"C",,"Q",,
"national-park-daintree","animals","birds","Cuculidae","Cacomantis castaneiventris","chestnut-breasted cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Cacomantis flabelliformis","fan-tailed cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Cacomantis variolosus","brush cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Centropus phasianinus","pheasant coucal",,"C",,"QA",,
"national-park-daintree","animals","birds","Cuculidae","Chalcites lucidus","shining bronze-cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Chalcites minutillus","little bronze-cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Chalcites minutillus barnardi","Eastern little bronze-cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Chalcites minutillus russatus","Gould's bronze-cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Cuculus optatus","oriental cuckoo",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Eudynamys orientalis","eastern koel",,"C",,"QAI",,
"national-park-daintree","animals","birds","Cuculidae","Scythrops novaehollandiae","channel-billed cuckoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Psittaculidae","Alisterus scapularis","Australian king-parrot",,"C",,"QA",,
"national-park-daintree","animals","birds","Psittaculidae","Cyclopsitta diophthalma macleayana","Macleay's fig-parrot",,"V",,"Q",,
"national-park-daintree","animals","birds","Psittaculidae","Parvipsitta pusilla","little lorikeet",,"C",,"QA",,
"national-park-daintree","animals","birds","Psittaculidae","Platycercus elegans","crimson rosella",,"C",,"QA",,
"national-park-daintree","animals","birds","Psittaculidae","Trichoglossus chlorolepidotus","scaly-breasted lorikeet",,"C",,"QA",,
"national-park-daintree","animals","birds","Psittaculidae","Trichoglossus moluccanus","rainbow lorikeet",,"C",,"QA",,
"national-park-daintree","animals","birds","Cacatuidae","Cacatua galerita","sulphur-crested cockatoo",,"C",,"QAI",,
"national-park-daintree","animals","birds","Laridae","Anous stolidus","brown noddy",,"SL",,"QA",,
"national-park-daintree","animals","birds","Laridae","Chlidonias hybrida","whiskered tern",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Laridae","Chroicocephalus novaehollandiae","silver gull",,"C",,"QAI",,
"national-park-daintree","animals","birds","Laridae","Gelochelidon macrotarsa","Australian tern",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Laridae","Onychoprion anaethetus","bridled tern",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Laridae","Onychoprion fuscatus","sooty tern",,"C",,"QAI",,
"national-park-daintree","animals","birds","Laridae","Sterna hirundo","common tern",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Laridae","Sternula albifrons","little tern",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Laridae","Thalasseus bengalensis","lesser crested tern",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Laridae","Thalasseus bergii","crested tern",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Turnicidae","Turnix maculosus","red-backed button-quail",,"C",,"QAI",,
"national-park-daintree","animals","birds","Scolopacidae","Actitis hypoleucos","common sandpiper",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Arenaria interpres","ruddy turnstone",,"SL","V","QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Calidris acuminata","sharp-tailed sandpiper",,"SL","V","QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Calidris ruficollis","red-necked stint",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Limosa lapponica baueri","Western Alaskan bar-tailed godwit",,"V","E","QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Numenius madagascariensis","eastern curlew",,"E","CE","QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Numenius phaeopus","whimbrel",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Tringa brevipes","grey-tailed tattler",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Tringa incana","wandering tattler",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Scolopacidae","Tringa nebularia","common greenshank",,"SL","E","QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Charadrius bicinctus","double-banded plover",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Charadrius leschenaultii","greater sand plover",,"V","V","QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Charadrius mongolus","lesser sand plover",,"E","E","QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Charadrius ruficapillus","red-capped plover",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Elseyornis melanops","black-fronted dotterel",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Pluvialis fulva","Pacific golden plover",,"SL",,"QAI","I",
"national-park-daintree","animals","birds","Charadriidae","Vanellus miles","masked lapwing",,"C",,"QAI",,
"national-park-daintree","animals","birds","Charadriidae","Vanellus miles miles","masked lapwing (northern subspecies)",,"C",,"QAI",,
"national-park-daintree","animals","birds","Recurvirostridae","Himantopus leucocephalus","pied stilt",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Burhinidae","Burhinus grallarius","bush stone-curlew",,"C",,"QAI",,
"national-park-daintree","animals","birds","Burhinidae","Esacus magnirostris","beach stone-curlew",,"V",,"QAI","I",
"national-park-daintree","animals","birds","Rallidae","Amaurornis moluccana","pale-vented bush-hen",,"C",,"QAI",,
"national-park-daintree","animals","birds","Rallidae","Gallirallus philippensis","buff-banded rail",,"C",,"QAI",,
"national-park-daintree","animals","birds","Rallidae","Rallina tricolor","red-necked crake",,"C",,"QAI",,
"national-park-daintree","animals","birds","Rallidae","Zapornia tabuensis","spotless crake",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Falconidae","Falco berigora","brown falcon",,"C",,"QAI",,
"national-park-daintree","animals","birds","Falconidae","Falco cenchroides","nankeen kestrel",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Accipiter fasciatus","brown goshawk",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Accipiter novaehollandiae","grey goshawk",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Aviceda subcristata","Pacific baza",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Elanus axillaris","black-shouldered kite",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Erythrotriorchis radiatus","red goshawk",,"E","E","QA",,
"national-park-daintree","animals","birds","Accipitridae","Haliaeetus leucogaster","white-bellied sea-eagle",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Haliastur indus","brahminy kite",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Haliastur sphenurus","whistling kite",,"C",,"QAI",,
"national-park-daintree","animals","birds","Accipitridae","Hamirostra melanosternon","black-breasted buzzard",,"C",,"QA",,
"national-park-daintree","animals","birds","Accipitridae","Milvus migrans","black kite",,"C",,"QAI",,
"national-park-daintree","animals","birds","Pandionidae","Pandion haliaetus cristatus","eastern osprey",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Threskiornithidae","Platalea flavipes","yellow-billed spoonbill",,"C",,"QA","I",
"national-park-daintree","animals","birds","Threskiornithidae","Platalea regia","royal spoonbill",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Threskiornithidae","Threskiornis molucca","Australian white ibis",,"C",,"QAI",,
"national-park-daintree","animals","birds","Threskiornithidae","Threskiornis spinicollis","straw-necked ibis",,"C",,"QAI",,
"national-park-daintree","animals","birds","Ardeidae","Ardea alba modesta","eastern great egret",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Ardea intermedia","intermediate egret",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Ardea sumatrana","great-billed heron",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Bubulcus ibis","cattle egret",,"C",,"QAI",,
"national-park-daintree","animals","birds","Ardeidae","Butorides striata","striated heron",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Egretta garzetta","little egret",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Egretta novaehollandiae","white-faced heron",,"C",,"QAI",,
"national-park-daintree","animals","birds","Ardeidae","Egretta sacra","eastern reef egret",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Ixobrychus flavicollis","black bittern",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ardeidae","Nycticorax caledonicus","nankeen night-heron",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Ciconiidae","Ephippiorhynchus asiaticus","black-necked stork",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Pelecanidae","Pelecanus conspicillatus","Australian pelican",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Phalacrocoracidae","Microcarbo melanoleucos","little pied cormorant",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Phalacrocoracidae","Phalacrocorax varius","pied cormorant",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Anhingidae","Anhinga novaehollandiae","Australasian darter",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Fregatidae","Fregata ariel","lesser frigatebird",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Fregatidae","Fregata minor","great frigatebird",,"SL",,"QAI",,
"national-park-daintree","animals","birds","Apodidae","Aerodramus terraereginae","Australian swiftlet",,"C",,"QA",,
"national-park-daintree","animals","birds","Apodidae","Hirundapus caudacutus","white-throated needletail",,"V","V","QAI",,
"national-park-daintree","animals","birds","Caprimulgidae","Caprimulgus macrurus","large-tailed nightjar",,"C",,"QAI",,
"national-park-daintree","animals","birds","Eurostopodidae","Eurostopodus mystacalis","white-throated nightjar",,"C",,"QAI",,
"national-park-daintree","animals","birds","Podargidae","Podargus papuensis","Papuan frogmouth",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Chalcophaps longirostris","Pacific emerald dove",,"C",,"QA",,
"national-park-daintree","animals","birds","Columbidae","Columba leucomela","white-headed pigeon",,"C",,"QA",,
"national-park-daintree","animals","birds","Columbidae","Ducula bicolor","pied imperial-pigeon",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Geopelia humeralis","bar-shouldered dove",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Geopelia placida","peaceful dove",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Lopholaimus antarcticus","topknot pigeon",,"C",,"QA",,
"national-park-daintree","animals","birds","Columbidae","Macropygia phasianella","brown cuckoo-dove",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Ptilinopus magnificus","wompoo fruit-dove",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Ptilinopus regina","rose-crowned fruit-dove",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Ptilinopus superbus","superb fruit-dove",,"C",,"QAI",,
"national-park-daintree","animals","birds","Columbidae","Spilopelia chinensis","spotted dove",,,,"II",,
"national-park-daintree","animals","birds","Podicipedidae","Tachybaptus novaehollandiae","Australasian grebe",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Anatidae","Anas superciliosa","Pacific black duck",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Anatidae","Dendrocygna arcuata","wandering whistling-duck",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Anatidae","Radjah radjah","radjah shelduck",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Anseranatidae","Anseranas semipalmata","magpie goose",,"C",,"QAI","I",
"national-park-daintree","animals","birds","Phasianidae","Pavo cristatus","Indian peafowl",,,,"II",,
